X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
401393.890000001,138543.59,24142019,2024/09/14 19:02:44+00,EVENING,OTHERS,THEFT F/AUTO,1400 - 1498 BLOCK OF OKIE STREET NE,401393.89,138543.59,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9147571652,-76.9839276423,,2024/09/14 01:00:00+00,2024/09/14 04:00:00+00,618641969,
401014.615699999,132432.509500001,24142457,2024/09/17 14:23:08+00,DAY,OTHERS,THEFT F/AUTO,2500 - 2599 BLOCK OF WEST STREET SE,401014.615742894,132432.509496328,8,8A,7,703,Cluster 37,007407 2,007407,Precinct 119,38.8597067591,-76.9883099171,,2024/09/12 04:00:00+00,2024/09/15 04:00:00+00,618641970,
400331.530000001,140225.02,24142631,2024/09/15 21:49:17+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3200 - 3299 BLOCK OF 7TH STREET NE,400331.53,140225.02,5,5F,5,502,Cluster 21,009201 1,009201,Precinct 74,38.9299050704,-76.9961764553,,2024/09/15 01:35:00+00,2024/09/15 21:45:00+00,618641971,
406835.044299997,136726.3902,24143017,2024/09/16 17:44:20+00,DAY,GUN,ROBBERY,5500 - 5599 BLOCK OF NANNIE HELEN BURROUGHS AVENUE NE,406835.044324296,136726.390204313,7,7C,6,608,Cluster 31,007807 1,007807,Precinct 95,38.8983617302,-76.9212060908,,2024/09/16 14:55:00+00,2024/09/16 15:00:00+00,618641972,
397315.960000001,145640.949999999,24065877,2024/05/02 21:36:16+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1322 BLOCK OF FLORAL STREET NW,397315.96,145640.95,4,4A,4,401,Cluster 16,001600 2,001600,Precinct 62,38.9786891718,-77.0309763015,,2024/05/02 12:30:00+00,2024/05/02 17:00:00+00,618642080,
405096.536799997,137855.623399999,24066659,2024/05/04 04:30:47+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,4300 - 4399 BLOCK OF ORD STREET NE,405096.536802683,137855.623389361,7,7D,6,601,Cluster 29,009601 1,009601,Precinct 92,38.9085460576,-76.9412390972,,2024/05/04 01:29:00+00,2024/05/04 03:07:00+00,618642081,
399352.488799997,134192.1699,24066858,2024/05/04 16:15:59+00,DAY,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF HALF STREET SE,399352.488797352,134192.169945961,8,8F,1,106,Cluster 27,007201 1,007201,Precinct 131,38.8755588474,-77.0074620773,CAPITOL RIVERFRONT,2024/05/03 09:30:00+00,2024/05/04 14:52:00+00,618642082,
398683.619999997,138304.27,24067152,2024/05/05 02:30:41+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,R STREET NW AND 3RD STREET NW,398683.61999673,138304.27001378,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 19,38.9126014098,-77.0151781639,,2024/05/05 00:54:00+00,,618642083,
400589.670000002,136018.829999998,24067193,2024/05/05 08:57:48+00,MIDNIGHT,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF CONSTITUTION AVENUE NE,400589.67,136018.83,6,6A,1,108,Cluster 25,008100 2,008100,Precinct 85,38.8920141436,-76.9932029314,,2024/05/04 16:00:00+00,2024/05/04 19:10:00+00,618642084,
402021.600000001,137529.760000002,24067497,2024/05/05 23:55:18+00,EVENING,OTHERS,THEFT/OTHER,1822 - 1899 BLOCK OF M STREET NE,402021.6,137529.76,5,5D,5,507,Cluster 23,008903 2,008903,Precinct 78,38.9056230185,-76.9766927679,,2024/05/05 17:00:00+00,2024/05/05 17:30:00+00,618642085,
394763.850000001,141214.989999998,24105525,2024/07/10 16:00:58+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3899 BLOCK OF CONNECTICUT AVENUE NW,394763.85,141214.99,3,3C,2,203,Cluster 12,000600 1,000600,Precinct 27,38.9388074777,-77.0603962082,,2024/07/09 05:00:00+00,2024/07/09 18:40:00+00,618642164,
406235.359999999,134777.899999999,24105679,2024/07/10 19:26:30+00,EVENING,OTHERS,THEFT/OTHER,5100 - 5298 BLOCK OF FITCH STREET SE,406235.36,134777.9,7,7E,6,604,Cluster 33,009905 3,009905,Precinct 104,38.8808134633,-76.9281368887,,2024/07/03 21:00:00+00,2024/07/03 21:30:00+00,618642165,
393411.390000001,141168.5,24105735,2024/07/10 20:22:43+00,EVENING,OTHERS,THEFT/OTHER,3600 - 3699 BLOCK OF 38TH STREET NW,393411.39,141168.5,3,3A,2,204,Cluster 14,001002 3,001002,Precinct 29,38.9383795808,-77.0759956628,,2024/07/08 00:00:00+00,2024/07/08 20:18:00+00,618642166,
397655.460000001,139302.91,24106238,2024/07/11 19:31:28+00,EVENING,OTHERS,THEFT F/AUTO,2300 - 2499 BLOCK OF 11TH STREET NW,397655.46,139302.91,1,1B,3,304,Cluster 2,003500 2,003500,Precinct 37,38.9215953471,-77.0270364945,,2024/07/11 04:01:00+00,2024/07/11 15:00:00+00,618642167,
394449.149999999,137479.059999999,24107395,2024/07/13 21:07:19+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3275 BLOCK OF M STREET NW,394449.15,137479.06,2,2E,2,206,Cluster 4,000202 4,000202,Precinct 6,38.9051510928,-77.0639958956,GEORGETOWN,2024/07/13 20:30:00+00,2024/07/13 20:50:00+00,618642168,
394628.609999999,141513.27,24108559,2024/07/15 22:54:44+00,EVENING,OTHERS,THEFT/OTHER,4000 - 4099 BLOCK OF CONNECTICUT AVENUE NW,394628.61,141513.27,3,3F,2,203,Cluster 12,001303 3,001303,Precinct 34,38.9414936538,-77.0619584644,,2024/06/01 17:30:00+00,2024/07/15 22:00:00+00,618642169,
405013.990000002,134320.800000001,24110275,2024/07/18 23:36:06+00,EVENING,GUN,ROBBERY,700 - 899 BLOCK OF RIDGE ROAD SE,405013.99,134320.8,7,7E,6,605,Cluster 33,007707 1,007707,Precinct 106,38.8767035411,-76.9422166234,,2024/07/18 22:35:00+00,2024/07/18 23:30:00+00,618642170,
396746.969999999,137976.41,24138507,2024/09/08 13:47:51+00,DAY,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,396746.97,137976.41,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9096429011,-77.0375066283,,2024/09/08 12:17:00+00,2024/09/08 12:22:00+00,618642238,
397241.549999997,140302.66,24138528,2024/09/08 15:05:55+00,DAY,OTHERS,THEFT/OTHER,1326 - 1399 BLOCK OF PARK ROAD NW,397241.55,140302.66,1,1A,3,302,Cluster 2,003000 1,003000,Precinct 39,38.9306002081,-77.0318135912,,2024/09/07 13:11:00+00,2024/09/08 05:00:00+00,618642239,
395766.700000003,137555.93,24140462,2024/09/11 23:16:44+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1249 BLOCK OF 22ND STREET NW,395766.7,137555.93,2,2A,2,208,Cluster 5,005501 1,005501,Precinct 4,38.9058508976,-77.0488063042,,2024/09/11 20:16:00+00,2024/09/11 22:34:00+00,618642240,
394333.0,143911.039999999,24141210,2024/09/13 13:02:22+00,DAY,OTHERS,THEFT F/AUTO,3200 - 3299 BLOCK OF LIVINGSTON STREET NW,394333,143911.04,4,3/4G,2,201,Cluster 10,001401 1,001401,Precinct 51,38.9630915514,-77.0653881069,,2024/09/13 13:00:00+00,2024/09/13 13:35:00+00,618642241,
396528.520000003,141672.879999999,24141603,2024/09/13 22:49:59+00,EVENING,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF VARNUM STREET NW,396528.52,141672.88,4,4E,4,404,Cluster 18,002600 2,002600,Precinct 48,38.9429410282,-77.0400439974,,2024/09/13 22:45:00+00,2024/09/13 22:55:00+00,618642242,
405274.740000002,136333.170000002,24165995,2024/10/25 23:27:00+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,DIX STREET NE AND 44TH STREET NE,405274.74000285,136333.17001195,7,7F,6,602,Cluster 30,007803 4,007803,Precinct 99,38.8948302076,-76.9391961822,,2024/10/25 21:17:00+00,2024/10/25 22:38:00+00,618642269,
400246.539999999,139229.039999999,24166124,2024/10/26 01:30:06+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,400246.54,139229.04,5,5F,5,502,Cluster 21,009204 2,009204,Precinct 74,38.9209329952,-76.9971570051,,2024/10/26 01:24:00+00,2024/10/26 01:26:00+00,618642270,
402150.009999998,141604.32,24166343,2024/10/26 13:28:25+00,DAY,OTHERS,MOTOR VEHICLE THEFT,4300 - 4399 BLOCK OF 21ST STREET NE,402150.01,141604.32,5,5B,5,503,Cluster 20,009400 1,009400,Precinct 69,38.942327648,-76.975199554,,2024/10/25 15:50:00+00,2024/10/26 13:15:00+00,618642271,
399072.009999998,133326.879999999,24166971,2024/10/27 17:37:34+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF HALF STREET SW,399072.01,133326.88,6,6D,1,,Cluster 9,006400 2,006400,Precinct 127,38.8677637155,-77.0106932154,CAPITOL RIVERFRONT,2024/10/27 16:59:00+00,2024/10/27 17:30:00+00,618642272,
402379.420000002,132035.510000002,24167212,2024/10/28 03:03:24+00,MIDNIGHT,OTHERS,BURGLARY,2700 - 2899 BLOCK OF LANGSTON PLACE SE,402379.42,132035.51,8,8B,7,702,Cluster 36,007408 2,007408,Precinct 115,38.8561277862,-76.9725864468,,2024/10/28 01:37:00+00,2024/10/28 02:00:00+00,618642273,
401965.260899998,133483.0022,24167461,2024/10/28 18:25:22+00,DAY,OTHERS,SEX ABUSE,1700 - 1713 BLOCK OF 19TH STREET SE,401965.260927777,133483.002201303,8,8A,6,607,Cluster 34,007601 3,007601,Precinct 133,38.8691684217,-76.9773538807,,2024/10/27 04:00:00+00,2024/10/27 20:00:00+00,618642274,
403416.354999997,135089.295299999,24167543,2024/10/29 02:41:12+00,EVENING,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF ELY PLACE SE,403416.355009123,135089.295290793,7,7B,6,603,Cluster 32,007708 2,007708,Precinct 132,38.8836341042,-76.9606246331,,2024/10/28 17:03:00+00,2024/10/28 18:31:00+00,618642275,
400436.979999997,135710.98,24168705,2024/10/31 00:17:05+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1 - 99 BLOCK OF 8TH STREET SE,400436.98,135710.98,6,6B,1,107,Cluster 26,006700 3,006700,Precinct 89,38.889241005,-76.99496317,,2024/10/30 19:22:00+00,2024/10/30 19:24:00+00,618642276,
399228.024300002,128424.528299998,24169070,2024/10/31 22:10:40+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2 - 199 BLOCK OF GALVESTON STREET SW,399228.024253237,128424.528308609,8,8D,7,708,Cluster 39,009807 2,009807,Precinct 126,38.8236013165,-77.0088899643,,2024/10/30 19:50:00+00,2024/10/31 11:10:00+00,618642277,
397921.380000003,138633.969999999,24169235,2024/10/31 18:39:12+00,DAY,OTHERS,THEFT F/AUTO,9TH STREET NW AND T STREET NW,397921.37999602,138633.97001408,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9155699857,-77.0239679639,,2024/10/27 03:45:00+00,2024/10/27 04:00:00+00,618642278,
401701.350000001,136862.760000002,24169253,2024/10/31 19:11:29+00,EVENING,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2024/10/31 18:14:00+00,2024/10/31 19:04:00+00,618642279,
405689.079999998,138192.620000001,24170152,2024/11/02 01:46:24+00,EVENING,OTHERS,THEFT F/AUTO,1600 - 1699 BLOCK OF KENILWORTH AVENUE NE,405689.08,138192.62,7,7C,6,602,Cluster 31,009601 1,009601,Precinct 92,38.9115782019,-76.9344045364,,2024/11/01 18:30:00+00,2024/11/01 20:30:00+00,618642280,
397995.710000001,143042.329999998,24170173,2024/11/02 02:31:54+00,EVENING,GUN,ROBBERY,700 - 799 BLOCK OF JEFFERSON STREET NW,397995.71,143042.33,4,4D,4,403,Cluster 18,002101 3,002101,Precinct 56,38.9552819837,-77.0231237621,,2024/11/02 01:23:00+00,2024/11/02 02:31:00+00,618642281,
397243.310000002,140995.219999999,24170427,2024/11/02 16:14:31+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1325 - 1399 BLOCK OF SPRING ROAD NW,397243.31,140995.22,4,4C,4,404,Cluster 18,002504 1,002504,Precinct 49,38.9368390032,-77.0317960749,,2024/11/02 15:09:00+00,,618642282,
399489.394100003,129706.374499999,24170872,2024/11/03 09:21:39+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,3750 - 3799 BLOCK OF 1ST STREET SE,399489.394077479,129706.374549798,8,8D,7,707,Cluster 39,009803 3,009803,Precinct 124,38.8351489747,-77.0058810171,,2024/11/03 07:43:00+00,2024/11/03 09:20:00+00,618642283,
398682.299999997,134716.489999998,24170958,2024/11/03 15:33:54+00,DAY,OTHERS,MOTOR VEHICLE THEFT,700 - 899 BLOCK OF 3RD STREET SW,398682.3,134716.49,6,6D,1,103,Cluster 9,010500 3,010500,Precinct 128,38.8802813797,-77.0151865019,SOUTHWEST,2024/11/03 09:55:00+00,2024/11/03 09:59:00+00,618642284,
395007.450000003,137489.199999999,24171536,2024/11/04 17:35:38+00,DAY,OTHERS,THEFT/OTHER,2800 - 2899 BLOCK OF M STREET NW,395007.45,137489.2,2,2E,2,206,Cluster 4,000102 3,000102,Precinct 5,38.9052457859,-77.0575593157,GEORGETOWN,2024/11/04 17:12:00+00,2024/11/04 17:30:00+00,618642285,
400233.549999997,136784.059999999,24158681,2024/10/13 08:18:32+00,MIDNIGHT,GUN,ROBBERY,600 - 699 BLOCK OF G STREET NE,400233.55,136784.06,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,38.8989077821,-76.9973076318,,2024/10/13 06:16:00+00,2024/10/13 06:20:00+00,618642321,
399156.4454,128511.719799999,24159525,2024/10/15 00:26:38+00,EVENING,GUN,ROBBERY,2 - 153 BLOCK OF GALVESTON PLACE SW,399156.44543717,128511.719828689,8,8D,7,708,Cluster 39,009807 2,009807,Precinct 126,38.8243867133,-77.0097143627,,2024/10/12 21:00:00+00,2024/10/12 21:30:00+00,618642322,
399939.810000002,137900.73,24159764,2024/10/15 14:43:24+00,DAY,OTHERS,BURGLARY,1200 - 1399 BLOCK OF UNION STREET NE,399939.81,137900.73,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9089671676,-77.0006939692,,2024/10/15 07:42:00+00,2024/10/15 08:00:00+00,618642323,
399995.899999999,139118.920000002,24159876,2024/10/15 18:30:07+00,DAY,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF RHODE ISLAND AVENUE NE,399995.9,139118.92,5,5F,5,502,Cluster 21,009204 2,009204,Precinct 74,38.919941033,-77.0000472788,,2024/10/15 14:42:00+00,2024/10/15 17:00:00+00,618642324,
400857.210000001,137467.920000002,24160299,2024/10/16 10:45:52+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1100 - 1199 BLOCK OF NEAL STREET NE,400857.21,137467.92,5,5D,5,506,Cluster 23,008802 3,008802,Precinct 77,38.9050678489,-76.9901172157,,2024/10/15 20:30:00+00,2024/10/16 10:26:00+00,618642325,
403516.7245,133455.8127,24160375,2024/10/16 16:38:30+00,DAY,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF PENNSYLVANIA AVENUE SE,403516.724545217,133455.812729278,7,7B,6,605,Cluster 34,009901 2,009901,Precinct 109,38.8689186523,-76.9594761766,,2024/10/16 14:39:00+00,2024/10/16 14:40:00+00,618642326,
397068.32,140306.489999998,24161700,2024/10/18 23:09:00+00,EVENING,OTHERS,ROBBERY,1400 - 1499 BLOCK OF PARK ROAD NW,397068.32,140306.49,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.930634149,-77.0338114933,,2024/10/18 17:40:00+00,2024/10/18 22:07:00+00,618642327,
401229.799999997,137330.469999999,24161761,2024/10/19 03:01:49+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF TRINIDAD AVENUE NE,401229.8,137330.47,5,5D,5,506,Cluster 23,008802 2,008802,Precinct 77,38.9038292088,-76.9858218673,,2024/10/18 19:45:00+00,2024/10/18 22:05:00+00,618642328,
402608.8464,130874.9738,24161923,2024/10/19 02:54:28+00,EVENING,GUN,ASSAULT W/DANGEROUS WEAPON,2400 - 2499 BLOCK OF SOUTHERN AVENUE SE,402608.846368374,130874.973846883,8,8E,7,704,Cluster 38,007409 1,007409,Precinct 116,38.8456725224,-76.9699476028,,2024/10/19 01:29:00+00,2024/10/19 02:27:00+00,618642329,
397329.969999999,138713.440000001,24162164,2024/10/19 20:53:41+00,EVENING,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF WALLACH PLACE NW,397329.97,138713.44,1,1B,3,305,Cluster 3,004402 1,004402,Precinct 22,38.91628428,-77.0307876495,,2024/10/19 03:15:00+00,2024/10/19 13:00:00+00,618642330,
400686.539999999,137051.98,24162484,2024/10/20 02:31:56+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1000 - 1099 BLOCK OF I STREET NE,400686.54,137051.98,6,6A,1,104,Cluster 25,008410 1,008410,Precinct 82,38.9013210644,-76.9920852879,,2024/10/20 01:34:00+00,2024/10/20 01:46:00+00,618642331,
398583.240000002,139071.91,24162513,2024/10/20 03:26:27+00,MIDNIGHT,GUN,ROBBERY,200 - 399 BLOCK OF W STREET NW,398583.24,139071.91,1,1B,3,306,Cluster 3,003400 1,003400,Precinct 20,38.9195164096,-77.0163371523,,2024/10/20 02:01:00+00,2024/10/20 03:00:00+00,618642332,
399218.214199997,128170.4793,24163205,2024/10/21 10:51:30+00,MIDNIGHT,KNIFE,ASSAULT W/DANGEROUS WEAPON,100 - 199 BLOCK OF IVANHOE STREET SW,399218.214237228,128170.479348373,8,8D,7,708,Cluster 39,010900 1,010900,Precinct 126,38.8213127141,-77.0090026465,,2024/10/21 06:55:00+00,,618642333,
396523.969999999,138059.219999999,24163440,2024/10/21 18:22:54+00,DAY,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF CHURCH STREET NW,396523.97,138059.22,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9103880282,-77.0400781818,,2024/10/21 16:45:00+00,2024/10/21 16:50:00+00,618642334,
400042.101899996,135588.359900001,24163482,2024/10/21 19:18:01+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,100 - 199 BLOCK OF 5TH STREET SE,400042.101917992,135588.359899257,6,6B,1,107,Cluster 26,006600 1,006600,Precinct 89,38.8881365046,-76.9995147217,,2024/10/19 16:00:00+00,2024/10/21 13:00:00+00,618642335,
397174.109999999,140033.109999999,24164071,2024/10/22 18:58:39+00,DAY,OTHERS,THEFT/OTHER,3000 - 3099 BLOCK OF 14TH STREET NW,397174.11,140033.11,1,1A,3,302,Cluster 2,002802 3,002802,Precinct 36,38.928171804,-77.0325902763,,2024/10/22 18:15:00+00,2024/10/22 18:22:00+00,618642336,
393763.810000002,140935.489999998,24164192,2024/10/22 21:39:37+00,EVENING,OTHERS,THEFT F/AUTO,3600 - 3687 BLOCK OF ORDWAY STREET NW,393763.81,140935.49,3,3A,2,203,Cluster 15,000600 4,000600,Precinct 27,38.9362831305,-77.0719285937,,2024/10/21 20:00:00+00,2024/10/22 17:30:00+00,618642337,
393571.579999998,144526.719999999,24164269,2024/10/22 23:18:46+00,EVENING,OTHERS,THEFT F/AUTO,3600 - 3699 BLOCK OF QUESADA STREET NW,393571.58,144526.72,3,3/4G,2,201,Cluster 10,001401 2,001401,Precinct 50,38.9686325036,-77.0741794436,,2024/10/19 18:30:00+00,2024/10/20 02:00:00+00,618642338,
401627.936999999,132937.326900002,24165518,2024/10/25 02:24:19+00,EVENING,OTHERS,BURGLARY,1600 - 1699 BLOCK OF V STREET SE,401627.936959464,132937.326936797,8,8A,7,701,Cluster 28,007504 2,007504,Precinct 114,38.8642534441,-76.9812422284,,2024/10/24 23:38:00+00,2024/10/25 01:45:00+00,618642339,
394095.030000001,143068.789999999,24165555,2024/10/25 02:51:14+00,EVENING,OTHERS,THEFT F/AUTO,3400 - 3499 BLOCK OF GARRISON STREET NW,394095.03,143068.79,3,3F,2,203,Cluster 12,001301 2,001301,Precinct 138,38.9555027806,-77.0681266462,,2024/10/24 22:45:00+00,2024/10/25 00:40:00+00,618642340,
397561.399999999,143530.960000001,24165871,2024/10/25 19:02:12+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,5700 - 5899 BLOCK OF GEORGIA AVENUE NW,397561.4,143530.96,4,4E,4,403,Cluster 18,002002 2,002002,Precinct 54,38.9596825918,-77.028136192,,2024/10/25 17:28:00+00,2024/10/25 17:30:00+00,618642341,
397430.206,137185.7245,24166719,2024/10/27 04:46:21+00,MIDNIGHT,OTHERS,THEFT F/AUTO,13TH STREET NW AND K STREET NW,397430.20597957,137185.72450874,2,2C,2,209,Cluster 8,010100 3,010100,Precinct 129,38.9025223941,-77.0296261291,DOWNTOWN,2024/10/27 03:21:00+00,2024/10/27 04:20:00+00,618642342,
400366.219999999,132181.420000002,24167102,2024/10/27 22:34:02+00,EVENING,OTHERS,THEFT/OTHER,2632 - 2663 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400366.22,132181.42,8,8C,7,703,Cluster 37,007401 2,007401,Precinct 119,38.8574453477,-76.9957806623,ANACOSTIA,2024/10/24 18:15:00+00,2024/10/24 18:40:00+00,618642343,
396836.880000003,140005.489999998,24167125,2024/10/28 01:14:50+00,EVENING,GUN,ROBBERY,3032 - 3099 BLOCK OF 16TH STREET NW,396836.88,140005.49,1,1A,3,302,Cluster 2,002802 3,002802,Precinct 39,38.9279218452,-77.0364793371,,2024/10/27 22:50:00+00,2024/10/28 00:54:00+00,618642344,
397609.939999998,138634.43,24168002,2024/10/29 15:37:02+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF T STREET NW,397609.94,138634.43,1,1B,3,305,Cluster 3,004402 1,004402,Precinct 137,38.9155733376,-77.0275590895,,2024/10/29 14:50:00+00,2024/10/29 14:51:00+00,618642345,
399076.061399996,133996.830699999,24039318,2024/03/15 15:31:32+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF HALF STREET SW,399076.061373095,133996.83071378,6,6D,1,105,Cluster 9,006400 1,006400,Precinct 127,38.8737989067,-77.0106474319,,2024/03/12 17:32:00+00,2024/03/12 17:34:00+00,618642410,
396217.890000001,138008.23,24040166,2024/03/17 00:28:29+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1699 BLOCK OF CONNECTICUT AVENUE NW,396217.89,138008.23,2,2B,2,208,Cluster 6,004202 1,004202,Precinct 14,38.9099274291,-77.0436069637,DUPONT CIRCLE,2024/03/16 23:49:00+00,2024/03/17 00:28:00+00,618642411,
394964.329999998,140772.690000001,24040194,2024/03/17 01:27:54+00,EVENING,OTHERS,THEFT/OTHER,3319 - 3499 BLOCK OF CONNECTICUT AVENUE NW,394964.33,140772.69,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9348242806,-77.0580805327,,2024/03/17 01:12:00+00,,618642412,
396029.229999997,137018.530000001,24040418,2024/03/17 16:33:10+00,DAY,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF PENNSYLVANIA AVENUE NW,396029.23,137018.53,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,38.9010110345,-77.045776453,,2024/03/16 21:30:00+00,2024/03/16 23:45:00+00,618642413,
403742.719999999,140239.149999999,24041060,2024/03/18 17:31:26+00,DAY,OTHERS,THEFT F/AUTO,3100 - 3199 BLOCK OF EASTERN AVENUE NE,403742.72,140239.15,5,5C,5,503,Cluster 24,009000 1,009000,Precinct 139,38.9300244493,-76.9568350325,,2024/03/18 16:43:00+00,,618642414,
398607.229999997,143124.460000001,24041517,2024/03/19 13:03:10+00,DAY,OTHERS,THEFT F/AUTO,5400 - 5499 BLOCK OF 3RD STREET NW,398607.23,143124.46,4,4D,4,403,Cluster 18,002102 6,002102,Precinct 57,38.956023015,-77.016068741,,2024/03/19 09:00:00+00,2024/03/19 12:00:00+00,618642415,
400240.18,130832.91,24043981,2024/03/23 23:22:02+00,EVENING,OTHERS,THEFT/OTHER,2919 - 2999 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400240.18,130832.91,8,8C,7,707,Cluster 39,010400 3,010400,Precinct 123,38.8452974283,-76.9972332803,,2024/03/23 21:15:00+00,2024/03/23 22:34:00+00,618642416,
395911.210000001,138470.899999999,24044409,2024/03/24 19:39:40+00,EVENING,OTHERS,THEFT F/AUTO,2100 - 2129 BLOCK OF S STREET NW,395911.21,138470.9,2,2D,2,208,Cluster 1,004100 1,004100,Precinct 13,38.9140939435,-77.0471456765,,2024/03/13 22:00:00+00,2024/03/24 14:00:00+00,618642417,
400331.983800001,129143.851300001,24044415,2024/03/24 19:56:44+00,EVENING,OTHERS,THEFT/OTHER,600 - 898 BLOCK OF BRANDYWINE STREET SE,400331.983838261,129143.851349276,8,8E,7,706,Cluster 39,009802 2,009802,Precinct 125,38.8300815919,-76.9961765738,,2024/03/24 15:40:00+00,2024/03/24 15:55:00+00,618642418,
400714.07,137480.109999999,24044740,2024/03/25 13:39:20+00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF WEST VIRGINIA AVENUE NE,400714.07,137480.11,5,5D,5,506,Cluster 23,008802 3,008802,Precinct 77,38.9051777887,-76.9917674658,,2024/03/25 12:42:00+00,2024/03/25 13:30:00+00,618642419,
402167.189999998,133956.260000002,24045190,2024/03/26 09:06:48+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1400 - 1445 BLOCK OF 22ND STREET SE,402167.19,133956.26,8,8A,6,607,Cluster 34,007601 1,007601,Precinct 133,38.8734312444,-76.9750255172,,2024/03/26 02:19:00+00,2024/03/26 03:40:00+00,618642420,
401418.340000004,136628.93,24045417,2024/03/26 16:19:33+00,DAY,OTHERS,MOTOR VEHICLE THEFT,600 - 613 BLOCK OF 15TH STREET NE,401418.34,136628.93,7,7D,5,507,Cluster 25,007901 4,007901,Precinct 81,38.8975092018,-76.9836496738,,2024/03/26 16:03:00+00,2024/03/26 16:05:00+00,618642421,
402984.93,134118.16,24046358,2024/03/28 10:54:25+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,1300 - 1349 BLOCK OF ANACOSTIA ROAD SE,402984.93,134118.16,7,7B,6,605,Cluster 34,007709 2,007709,Precinct 111,38.8748873086,-76.9656012603,,2024/03/28 09:38:00+00,2024/03/28 10:15:00+00,618642422,
397835.859999999,136718.280000001,24047130,2024/03/29 18:36:45+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF G STREET NW,397835.86,136718.28,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8983125792,-77.0249480334,DOWNTOWN,2024/03/29 15:00:00+00,2024/03/29 15:30:00+00,618642423,
400233.789999999,136927.879999999,24047267,2024/03/29 22:36:55+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF H STREET NE,400233.79,136927.88,6,6C,1,104,Cluster 25,008302 2,008302,Precinct 83,38.9002033642,-76.9973048161,,2024/03/29 21:45:00+00,2024/03/29 22:10:00+00,618642424,
